x,y
the climate crisis ha overlapping impact on humanity g in low lying underdeveloped area thinking of those in mozambique zimbabwe amp malawi where historic drought followed by the devastating cyclone idai amp flooding created humanitarian crisis,1
severe tropical cyclone ha just ripped through city of half million devastating hundred of thousand of home and livelihood yet day later still barely whisper in the global medium,1
aid worker widen search for mozambique cyclone survivor death,3
update is humanitarian catastrophe for the people of large part of beira have been damaged entire village and town have been completely flooded the scale of suffering and loss is still not clear,1
death toll for cyclone idai continues to rise hundred missing and thousand misplaced when are we going to start taking climate change seriously,2
rt cyclone idai massive and horrifying damage in mozambique,1
if theyre not using poltics then why arent other people getting aid,4
damage on harare beitbridge road is profound the main national highway is now serious death trap whilst we look at chimanimani we have situation on the beatrice road detour a truck went down yesterday,1
no increase in idai death toll over the last hour government say,2
at least people are dead and score more missing in mozambique and zimbabwe after tropical cyclone ripped through the southern african nation,2
on the way back to blantyre from phalombe near mozambique where many village heavily affected by some village now only accessible by foot the view getting there and back is beautiful,1
left trail of destruction in it wake in road are cut off power and communication are down building are destroyed relatively few casualty reported so far but the true extent remains to be seen,1
team have conducted outreach program to reach inaccessible area in chimanimani many road amp bridge were severely damaged we also set up stabilization center at skyline junction to provide medical care follow for the latest response,1
it wa le than five minute after we left and watched my house crumble to the ground say bernardo that heard about on radio guia community broadcast that despite being destroyed found innovative way to keep people informed,1
we cannot know how many dead huge huge number have the impression huge number also could be rescued if enough help is sent right now 5,2
rt breaking news death toll rise past in mozambique following cyclone idai,2
36 hour after the landfall of cyclone what the called potential worst case scenario these are some of the first photo of beira mozambique city that is still largely cut off from the rest of the world by flooding growing humanitarian catastrophe,1
ha left trail of destruction life lost many displaced road network destroyed crop destroyed livelihood completely destroyed our thought and prayer go to everyone affected by,1
over school were destroyed in alone there to help in the immediate aftermath and in the longer term recovery including with education in this emergency,1
will speak for my colleague and hv been sharing information on on our show more expert dissemination of info needed too frm met dept civil protection unit etc sadly lot of destruction h been experienced in area like chimamimani disaster mgt policy,1
i come from country where my president hire million u dollar jet to travel abroad but cant hire rtgs dollar zupco bus to evacuate people from the deadly cyclone area,0
govrt say death toll now at with humanitarian agency noting that a flood water recede death toll could rise relief agency say rescue and relief matter of priority,2
fear for a cyclone idai destroys of mozambique city aid official say,1
incase you are not aware there storm called cyclone idai that ha swept through about three country in southern africa mozambique zimbabwe and malawi it ha caused very terrible flooding and a at yesterday bbc already reported people dead pls pray for africa,2
you may not understand it if you in the comfort of your home family traumatized by the effect of the clyclone people have died others still missing home amp bridge have been destroyed some have no food others now vulnerable to disease help them out,2
report from beira on the th march the central regional of mozambique and most particularly the city of beira were heavily affected by cyclone idai there ha been extensive wind and water damage to the city and surrounding area with loss of life property,1
the ministry ha confused operative tweeting about evacuation rural folk will not see instead of deploying soldier to lead the process of informing resident of the seriousness of the warning acting like they gave free gadget amp data during the campaign in place of regalia,0
rt dozen are dead a cyclone idai cause severe flooding and damage in mozambique malawi and zimbabwe,2
beginning to see shortage of food and clean water in a the city is cut off due to flooding inaccessible road petrol is also running out pipeline that supply fuel to malawi zimbabwe zambia drc from in have been damaged cycloneidai,1
so which aid is alleged to have been stolen by zanu pf stop it,4
in one of the worst weather disaster in the southern hemisphere cyclone idai ha killed approximately people in mozambique,2
i wa sleeping and woke up because felt like wa floating but my leg wa actually in water cyclone in mozambique is feared to have killed more than people,2
mozambique ha experienced many flood before but this say nothing like idai the country nd largest city beira wa buried in meter of water and almost completely disappeared overnight,1
takaudzwa zvecyclone two week ago if not more he knew it wa coming before he left why didnt he put the relief strategy together and cancel that trip rather than going and cut short his visit,4
bikita district in masvingo ravaged by death and several home destroyed,2
ilo team on joint assessment of cyclone damaged rural road with the mozambique national road administration gorongosa national park closed due to bridge damage hospitality job at stake time for community employment intensive repair,1
almost child in mozambique were separated from their parent by cyclone idai say the un no one know exactly how many people are missing yet thousand of people are still in camp waiting for floodwaters to recede and communication to be restored,0
tinashe ha been finally laid to rest today in marange after long struggle to recover his body the body wa in of those area which not accessible by road rip brother friend with the world wa not going be the same he wa so much in love with the environment thanks,2
i think mdc criticised the wisdom of leaving the country when country wa faced with the cyclone we had seen the devastation it had caused in mozambique now the death toll speaks for itself we should have been better prepared,2
at least dead in mozambique and zimbabwe a tropical cyclone idai continues it destruction in the region via,2
cyclone eline back in wa termed worst in yr with total death reported in house amp hut destroyed 538schools amp clinic destroyed livestock lost infrastructure destroyed billion of dollar lost in country like zimbabwe sa mozambique,2
check out latest aerial photo of damage in provided by our colleague at yesterday our dart completed aerial assessment of hard hit beira amp reported that shelter remains priority need,1
many dead in and death toll expected to rise a authority continue to ass the situation,2
he stole aid,4
it break my heart to see child the next generation we all talk so much about living in the ruin of displacement centre out of school and now at risk from killer disease that thrive in chaos antonio matimbe on,4
major flooding and death in mozambique and malawi following cyclone,2
govt of zimbabwe say at least people have died a result of cyclone idai the storm had hit mozambique earlier this week,2
damage caused by cyclone idai to pylon in mozambique that carry power to neighboring country may take week to repair via,1
more than woman of reproductive age were affected by while assessing accommodation site in dondo doctor speaks to pregnant teen about family planning this wa her first time hearing about the many option available,4
the rising stench of decomposing victim buried under debris at in is now helping the recovery of body with resident saying sniffer dog will quicken the pace of recovery of their missing relative,2
we do not have anywhere to stay live with my sister amp am the th child we are of u including mother wish we find somewhere safe to sleep a young woman do feel safe to live here because there are many people here felistas say survivor,0
do we know how many displaced,0
the government say people are confirmed dead and are reported missing after cyclone idai swept into manicaland province overnight destroying bridge road and home most of the destruction occurred in chimanimani east,2
2 ward chimanimani urban number of death in ngangu high density area 26 house destroyed bridge destroyed one at pondo ward chikukwa no of death household house destroyed 10,1
i have lived and worked in malawi mozambique and zimbabwe for total of over year the damage this cyclone and the flood are doing is devastating and heartbreaking will support swift response and strong recovery,1
my country kenya is experiencing serious drought people are literally dying of hunger this week ha also seen my country corruption amp looting scandal escalate down in central africa zimbabwe ha been hit by cyclone that ha left hundred dead,2
chamisa visit to hit area publicity stunt,4
minister of local government cde july moyo confirms that death toll ha risen to,2
9 christina pr sch near steinstroom sec sch on the jopa copper road is another district command rescue serf the risitu valley this is the furthest that vehicle can access from jopa to risitu valley due to destroyed bridge,1
death toll rise to in central mozambique authority,2
rt mozambique city beira damaged or destroyed by cyclone,1
another say hive were destroyed by amp it going to be tough he mention they managed to recieve bit of some mealie meal yesterday,1
perence shiri and july moyo expected to viist the marooned victim today so far people are confirmed dead,2
cyclone idai and related flooding ha killed people in southern africa malawi people dead death toll not yet updated since cyclone hit mozambique people dead the number is expected to rise over zimbabwe people dead and missing,2
rt mozambique mourns cyclone death a rescuer struggle to reach those affected,2
autorities have found body killed by cyclone idai in central region of mozambique according to celso correia minister of land environment and rural development there are still many place isolated by flood which mean death toll may rise,2
mozambique the death toll from landfall ha reportedly risen to at least authority have issued red alert for flooding along the river buzi with high risk of flood in buzi and pungo more on the flash update,2
this is kopa settlement in chimanimani hundred house used to be here but ala they were all wiped away by the cyclone this is the sad story of the trail of destruction left behind,1
the death toll from the mozambique cyclone ha risen dramatically president filipe nyusi say he fear up to people red cross team said of the port city of beira ha been destroyed icrc say dozen of others have died in neighbouring zimbabwe and malawi,2
ha damaged water system in mozambique malawi and zimbabwe raising the risk of cholera and other illness we are working with partner to save life until april canada government will match your donation donate at,1
cholera kill two in cyclone hit mozambique,2
every death from predictable disaster like cyclone that wa known week in advance is terrible indictment of our leadership and just how did we end up with higher death toll than mozambique where the cyclone affected densely populated area and also hit hardest,2
mozambique president people now feared dead after cyclone this is dire and growing humanitarian emergency the world need to respond urgently with help for the region,2
after walking around the local community we estimate that 4 of the building suffered catastrophic damage from cyclone,1
warehouse also suffered major damage during in beira but this wont stop aour humanitarian assistance to bring urgent life saving support to the affected population including clean water amp medical care,1
cyclone death toll nears,2
the powerful cat4 is now gone leaving massive damage but no reported injury amp death thanks to the timely below evacuee are at the royal australian air force military air base amp being assisted to travel back home,0
we visited camp in bangula malawi today thousand of displaced resident are there after severe flooding in the region last month they have nowhere to go donation from sa were handed over to the malawian government and will be distributed soon,0
zimbabwe death toll go up,2
thousand are feared dead or displaced in in the aftermath of unhcr is on the ground working in affected area supporting child and their family,2
key note speaker deputy minister of energy and power development hon mudyiwa say ha destroyed lot of electrical infrastructure and the ministry and other stakeholder will work tireless to rectify this,1
ha affected nearly million people amp at least killed the storm struck during the main harvest compounding loss of crop amp livelihood with local amp intl responder were providing emergency relief to family in,2
the international organisation of migration in zimbabwe ha pegged the induced flood death toll at over with death recorded in and about body discovered on the indian ocean coast in,2
reminiscing about this catastrophe must say am utterly appalled by the ineptitude of this government their lack of urgency and emergency really astounds me they knew on time the cyclone wa coming just wanna know one thing they did to avert loss of life,4
damage caused to an integrated service center for victim of violence in the district of dondo after assessment are ongoing we will continue to support the government effort to protect those at risk,1
the prophet in me tell me someone somewhere is already stealing the donation vamwe vanhu denga avapinde sure,4
breaking mozambique president say he belief the death toll for cyclone idai may top the cyclone first hit mozambique central port city of beira last week devastating the city of,2
the head of the un called cyclone idai yet another alarm bell about the danger of climate change the disaster damaged sq mile size of luxembourg in mozambique killed at least people in mozambique zimbabwe malawi put people in urgent need of aid,2
infographic showing the situation in mozambique zimbabwe and malawi a the death toll from cyclone that ravaged the three southern african country rise towards,2
yes about people feared dead from the mozambique cyclone jesus m,2
a responsible government should have ordered evacuation of school the moment dozen of death were reported in mozambique and the cyclone wa forecast to hit the eastern highland,0
oxfams southern africa regional director said we regret the loss of life and the first few day were difficult day a official agency focused on saving life and trying to ass the impact of the flood in mozambique malawi and zimbabwe,2
you left your people dying amp now you are sending thought amp prayer in foreign land chamakatsika mukuru chakaoma,2
an estimated people in have been affected by cyclone idai are child thousand are displaced their house destroyed by the severe weather were on the ground,0
imagine if our military resource were deployed to the affected area prior to all this loss zvimwe zvinongodawo pfungwa amana our gvt can do much better they just dont care,4
cyclone death toll surge to more than mozambique president,2
life have been lost amp more may be lost my son just telling me two jnr golfer from chimanimani are missing little boy he played golf with home swept away amp people marooned god help u we need each other let pray for life spared and mobilize support,2
authority in say that with key road open to the badly damaged city of condition on the ground improving and more international help arriving vital aid to those hit by should now flow more freely,1
hour after cyclone idai battered the coast of mozambique last week it made it way to zimbabwe bringing wave of destruction with it more than people have been reported dead in zimbabwe but that,2
ha caused mass damage and death in zimbabwe the outpouring local support and donation ha been truly amazing unfortunately this will not be nearly enough to rebuild home and life what is the and other powerful nation doing to help u,1
disaster response expert from plus usaid zims mission disaster relief officer arrived in manicaland this morning to ass the damage from their observation will help steer s response to the crisis,1
family in chikwawa amp mwanza southern are taking in stock of destruction after tree were uprooted and many home destroyed follow for more update,1
in ha left thousand displaced community are now facing second threat of flash flood following is providing critical life saving relief item and ensuring community are evacuated safely hear from on the ground,0
chris charamba content creation manager of hallelujah mag highlighted the devastation in area such a chimanimani thousand of family have been displaced theyve lost their loved one possession and the basic item that make life humane,0
and then clever corporates that are receiving donation from the public in the name of victim but they will never tell u what they a corporate donated hello african,4
zhrc come face to face with reality upon reaching bridge that wa destroyed by km from wengezi in manicaland,1
according to mozambique health ministry case of cholera recorded including one death in the cyclone idai affected area of these case 25 per cent were reported in the last hour,2
just over one week ago swept through mozambique malawi and zimbabwe affecting an estimated million and killing at least large area are still flooded the risk of hunger and disease is growing please help by donating now,2
this is real humanitarian disaster more than people are in danger mozambican president filipe nyusi more than feared killed by cyclone idai in mozambique,2
rautenbach pledge speedy repair of damaged zimbabwe road,1
still missing a rescue effort continue,3
in mozambique an estimated people lost their life a result of the induced flood ha recorded at least death injury and people either missing or stranded in total an estimated people were affected in the four country,2
almost shed tear this thing of zanufizing every thing must stop it happened in in bikita people died of hunger now it the same story if we continue in this path more people will die for how long shall we continue to silenced by this murderous regime2d,2
rt number dead in cyclone flooding could rise to president say on state radio,2
cyclone idai that ha left trail of destruction in mozambique is now headed towards zimbabwe at the invitation of the opposition mdc and some rogue ngo but the army and police have been deployed to deal with it according to the gvt spokesperson monica mutsvangwa,1
this same cyclone killed people in mozambique and malawi david it no time for blame game and cheap politiking,2
in mozambique fourth largest city of beira worst hit by the water level is finally decreasing but not without leaving path of destruction these crop were destroyed alongside more than hectare more across the country,1
proud uk continues to stand by response entering critical phase resource running out huge need quarter million house destroyed cholera malaria not under control people want to go home but have lost everything urge others to step up,1
president filipe nyusi say more than dead and nearly people are at risk while un agency referring to it a the worse humanitarian crisis to hit southern hemisphere,2
in more than building are missing red square while more than were damaged orange square this wa largely due to the combination of the powerful amp catastrophic mudslide amp flood a shown in the damage mapping satellite image below a,1
left trail of destruction in amp but had to contend with it own unique set of problem that have left villager vulnerable to waterborne disease,1
nelson chamisa traveling in scotch cart during his tour of the manicaland province after cyclone idai flood march,4
drone footage show scale of damage that cyclone idai ha inflicted onto mozambique with the country president saying that the death toll could reach a high a,2
cyclone idai hit malawi mozambique and zimbabwe and the death toll is at and still rising these country are very poor and cyclone of this magnitude only push these country farther away from development consider donating to the unicef usa,2
not trying to ruin your monday but it like when disaster happens in africa we barely pay attention the death toll from cyclone idai is now at least people across southern africa killed in mozambique dead in zimbabwe killed in malawi no hastags nothing,2
africa may have lost infrastructure worth billion dollar due to a she swept through amp we need to start prioritising emergency preparedness amp disaster planning a result,1
mozambican president visiting accommodation camp for people displaced by flood following people complained about delay and insufficient food distribution in the camp,0
cyclone idai death toll climb in mozambique and zimbabwe,2
early information coming in on human tragedy tropical cyclone idai ha so far caused in mozambique a storm rage on dead already since it struck yesterday,2
cyclone idai death toll to pas according to zimbabwe military of body of missing zimbabwean wash up in mozambique,2
we met gogo mavhuyo in chipinge destroyed her home she rescued her grandson amp along with others in manicaland is receiving temporary shelter kitchen kit aqua tablet bucket amp sleeping mat from amp a they start to rebuild,1
5 ward charleshood and dombera people marooned at higher ground blown away by landslide result unknown mawenje lodge employee marooned in mountain ward house destroyed in following village saziya merry water nyabamba runhowani,1
rt mozambican official say the county death toll is and rising,2
i dont agree they care over people dead hundred others missing hundred homeless but not single word for them why because they are from down in africa there malawi mozambique amp zimbabwe,2
well suppose it rather tough to hold out begging bowl for aid when you hop around the world and between harare amp bulawayo in supremely luxurious private jet c,4
city of beira at mozambique near south africa hit by cyclone on friday there no electricity communication water and all basic infrastructure to help even for rescue therere people trapped on tree waiting for rescue for day,1
my country is under water and yet we try to swim ashore near the shore we still have our head shoved back into the water you will rise african we are killing ourselves ddd,4
an eyewitness say about to body washed up on mozambique road in the wake of cyclone idai to suggest death toll may be higher than official figure,2
beira ha been wiped out with almost all building damaged or destroyed and the only access to the flooded region is by boat or air where people are without power and food on support response now gt,1
cyclone idai caused 2bn of damage say world bank washington strong cyclone that cut deadly swath through malawi mozambique and zimbabwe last month is expected to cost the three,1
anna magijo recently moved out of her mother in law home in gutu after building single hut a she wa working on building her home the hut wa destroyed friday midnight by the heavy rain and she had to move back in with her in law,1
so this cyclone hit mozambique since week and were just hearing about it report say about people are feared dead and thousand rendered homeless the medium blackout on this is worrisome imagine if it happened in europe sign of end time,2
we declare war on satan agent no,4
displaced woman among them pregnant woman said they had lost their ante natal care record iron supplement and arvs a they had all been washed away by the flood they are in need of sexual reproductive health service and supply,0
video major damage in the centre of northern mozambique after tropical cyclone idai hit southern africa on march,1
damn watching news coverage on africa is depressing devastating damage in part mozambique malawi and zimbabwe famine in kenya turkana county weve even been desensitized to the perpetual dire situation in south sudan and the congo,1
of the mozambique city of beira ha been destroyed the people of mozambique are now suffering from the impact of climate change on top of an economic crisis from secret loan by london bank,1
one month after cyclone idai hit malawi mozambique and zimbabwe killing more than people massive funding is needed to help thousand who are homeless and facing food shortage say the region ha only received 88m out of about 390m needed in aid,2
thousand of mozambique cyclone idai survivor cling to rooftop a death toll rise,2
cyclone idai ha left trail of destruction life have been lost some member of the zanu pf youth league are on the ground trying to assist,1
find missing person or register yourself if youre in the affected area follow this link,3
in collaboration with uem researcher from kth royal institute of technology in sweden have developed method for near real time flood mapping and damage assessment following cyclone idai that hit the center region of the of mozambique on march,1
very sad indeed if were not careful we could see the death toll even proportionately exceeding that of mozambique where the cyclone landed we need to do so much better the cpu message got is vague amp embarassing so general a to leave me no better off with knowing risk,2
day of national mourning in mozambique after deadly cyclone idai kill more than people,2
zimbabwe death toll from tropical cyclone climb to many more feared dead a cyclone idai sweep away entire village,2
in response to damage caused by humanitarian action office ha contributed to the emergency fund activated by the int federation of the red cross on march which includes shelter health water sanitation and hygiene intervention,1
so hut were damaged but only people are homeless dont even have the energy to shout 2 ministry of information tweeting inaccurate information,1
rt cyclone idai batter coastal city several injured,2
displaced girl living in shelter are at greater risk of gender based violence many are living in overcrowded shelter following they need support and protection,0
at least reported dead due to the tropical cyclone hope will respond swiftly amp extend help to zimbabwe in the earliest possible time our thought amp prayer go out to all those who have lost their life amp those who have had their property destroyed by,2
the bridge over this river in espungabera manica province mozambique wa washed away by the raging water few hour before we could cross the bridge link espungabera and chimoio motorist are stranded on both side,1
there is and it all under control we pray no life be lost the damage of property and crop we cant avoid we pray for safety of the people so far mozambique and malawi people have died from the same cyclone,1
which brought floodwater and destruction to area of and hit on friday cutting off power and communication,1
tropical cyclone hit on friday catchment were already saturated with vast area underwater already from last week flash flooding in mozambique amp southern malawi,1
amazing the only access to beira for aid for people suffering the cyclone and they shut the airport so the president can get some foto opportunity for the news what disgrace,4
the effect of disaster last long time disaster affected country deplete much of their financial and material resource in the immediate post impact phase successful relief program must gear their operation to that fact,1
after the flood when the only president helping you is the president on your shirt,4
un chief call killing at least people in mozambique zimbabwe malawi one of worst catastrophe in african history,2
mozambique second largest city wa destroyed last friday when say destroyed mean of the building were destroyed there are million people on the region affected by cyclone idai it is still raining the dam are full the flood gate will have to be opened,1
rt bridge damaged a flood sweep across part of manicaland,1
cyclone idais death toll over hundred of thousand displaced maputo april reuters hundred of thousand of people are still in need of aid after cyclone idai battered mozambique zimbabwe and malawi,2
breaking death toll rise above are receiving emergency aid from f6c read more d9,2
victim buried in mass grave in sussundenga at least missing,3
killed over people in and we appreciate the intervention of our to help our neighbor in these difficult time our sincere condolence to those who lost their loved one and we wish the injured speedy recovery,2
the scale of damage caused by in the city of is massive and horrifying of the area is damaged or destroyed according to initial assessment by an ifrc team on the ground,1
may register more than death life at risk following,2
beira owner of destroyed restaurant and hotel request tax exemption,1
bbc news many dead in and mozambique,2
cyclone idai killed hundred of people in southern africa at least people are in need of aid due to cultural bias and the event is not getting attention in western medium,2
struck mozambique last week amp caused devastating damage responder should use the language best understood by people in the area to communicate effectively checkout this great map,1
work to repair road and bridge damaged by is ongoing over bridge were destroyed from skyline junction to chimanimani,1
tragic loss of life in mozambique and zimbabwe possibly over people have died and widespread destruction in the wake of cyclone idai praying for all who are suffering and all engaged in relief work god our deliverer come to our aid,2
at least dead dozen missing in zimbabwe after cyclone at least people have been killed and dozen are missing in part of eastern zimbabwe hit by the peripheral effect of tropical cyclone idai which lashed neighbouring mozambique,2
rt at least people dead and displaced,2
rt cyclone idai caused damage worth 1 billion to fix in mozambique malawi and zimbabwe,1
rt another story not getting enough coverage cyclone idai death toll in mozambique could rise above,2
rt the tropical cyclone left dead in mozambique and claimed an estimated life in zimbabwe,2
we fear hundred are missing after left trail of destruction across mozambique malawi and zimbabwe were helping family find their missing loved one search our site in english and portuguese,3
kagame wont declare war on anything you start the nonsense he take you out no one will dare try it again stealing donation african we are better than this,4
breaking news five case of have been confirmed in and surrounding area in following the cyclone that ravaged the country killing at least people reuters,2
cyclone idai devastated the centre country in mozambique were afeted more than people and about people died in mozambique we need you prays and any kind of help to support our people the horrible flood destroided many house public infra estrutures facility,2
a lake kilometre long and metre deep ha formed in angola near the severely affected city of after that the govt fear could leave up to people dead it also battered malawi and zimbabwe,2
the magnitude of the cyclone should ve prompted the responsible authority to act or at least firmly warn people so that those that could would move to safer area or be with their relative elsewhere anyway now it little too late for all that,4
just in drone photo show damage caused by in atualidade foto drone mostra dano causado por cyclone em beira ifrc,1
the cyclone idai struck beira mozambique with harsh wind of km on thursday the th it ha caused lot of damage people lost their family and home some are injured school airport and hospital are destroyed road are flooded theyre going through hard time,1
cyclone idai death toll increase the new death toll from now stand at in zimbabwe with over score not yet accounted for,2
cyclone is dumping more water and bringing destruction to area where score of people have already been killed and ten of thousand displaced by over the past week in communication poor with affected area,2
ha hit part of chimanimani in particular with more than people feard dead in ward flash flood amp mudslide ha resulted in mo than house washed away is underway assistance with food tent blanket is appreciated,2
video of st charles lwanga teacher and student narrating their ordeal from the time cyclone idai destroyed the school,1
ha already caused hundred of death extensive displacement flooding destroyed infrastructure and damaged agriculture stand ready to support the people amp govts of malawi mozambique amp zimbabwe to ass amp respond to humanitarian need,2
land and environment minister celso correia say are now known to have died a result of but add that the figure is expected to increase a the search and rescue operation continue,2
at bridge river at area on saturday 3 river flooded after heavy rain in zimbabwe mozambique side due to on way to beira water ha taken away life displaced thousand and wrecked havoc,0
a concern worker ha described scene of complete desolation following visit by boat to village and town cut off by cyclone idai flood water in one of the worst hit area along the malawi mozambique border,1
cyclone idai mapping mozambique catastrophic inland ocean the confirmed death toll a of march wa in mozambique and neighboring zimbabwe and malawi but with thousand still missing or at risk,2
over people have been killed by cyclone idai across southern africa a floodwaters ease the confirmed number of people killed in mozambique and neighboring zimbabwe and malawi climbed past eight day after cyclone idai struck,2
cyclone idai ha reportedly destroyed nearly of the mozambican port city of beira,1
government ha promised to fix up the school destroyed by a soon a possible,1
bbc report that the death toll from cyclone idai which tore through mozambique about week ago ha risen to but how is au and african country responding to this,2
people feared washed away by rusitu river confirmed death while house were destroyed in nganu chikukwa luanga copper and nyanyadzi area in chimanimani,2
rt their twitter account last knew the weather in january,4
update local government public work and national housing minister hon july moyo said that communication between rescue team are being made difficult due to poor network and power outage caused by the destruction of electricity line,1
rt see cyclone idai leaf trail of destruction in mozambique malawi zimbabwe killing via,2
in light of the destruction caused by cyclone idai simbisa brand is working with key stakeholder to assist in the relief effort for all the people affected by the cyclone our thought and prayer are with the family of those that have been affected,1
death toll from cyclone increase to with people affected say minister of land and environment celso correia,2
president of mozambique zimbabwe return home after cyclone kill,2
rt displaced people queuing in the camp to receive the cholera vaccine,0
ha destroyed life thousand are feared dead survivor are our first priority say anabela lemos director of sister org in but then we put in the dock powerful read,2
our team here in are trying to reach the community affected by but the infrastructure damage is severe and our team couldnt reach chimanimani nor chipinge urgent road repair in progress so well try again in the morning,1
the estoril school in beira wa destroyed during men are busy rebuilding the roof of the school few family from the estoril area who home were destroyed during the cyclone ha taken shelter in some of the classroom that wa not damaged by the cyclone,1
our colleague are in mozambique report significant damage barely any house seem intact power line amp tree are down many part are flooded we have report the situation outside the city is even worse,1
my deeply condolence to those who befell victim of the cyclone idai in chimanimani chipinge and partly mozambique may the soul of those left u rest in peace to those who got injured wish you early recovery,2
some of our in had their home destroyed and their washed away the death toll keep rising may the lord comfort the family of those who are suffering,1
in nearly house have been destroyed or flooded because of more than displaced people are sheltering in site across sofala manica zambezia and tete more info,1
cyclone idai death toll in mozambique could rise above president describes scale of disaster a huge a red cross say most of beira damaged or destroyed,2
rt mozambique president say cyclone death toll may be,2
rt property all destroyed,1
in mozambique govt ha declared national emergency and day of national mourning death toll there ha risen to at least,2
child and breast feeding mother were part of the affected people that were addresed by government minister at skyline command center yesterday,4
government department are working round the clock to restore service disrupted by including electricity supply in ngangu chimanimani and other area there ha been power outage since march,1
team have arrived on the ground in where ha left trail of devastation cutting off electricity and communication destroying home medical facility and crop please donate to our emergency appeal,1
the difference shown here before and after flood and mudslide is so devastating for just this small portion of building are now red square while more than building were left orange square,1
where are the soldier this is sick joke the victim of the cyclone are are searching for their own dead with their bare hand every soldier in manicaland should be in chimanimani the government is not taking this seriously what shame,4
just in mozambique president filipe nyusi say the death toll for may be more than,2
rt un standing with zimbabwe malawi mozambique a southern africa death toll from deadly cyclone mount,2
why is food donated for cyclone idai victim now being politicised,4
an estimated child in mozambique have been orphaned separated from their family made homeless or otherwise affected by cyclone idai official say thats half of the million people impacted overall,0
death toll climb from worst hurricane in decade,2
death toll from cyclone idai could spiral past thousand in mozambique amid fear survivor are at risk of fatal disease and starving villager resort to drinking from dirty puddle,2
lorry with left am we left am getting to chikwawa where hundred of thousand displaced due to wa not easy we had to half pack the lorry so they do not get stuck our x4 had trouble getting there,0
the damage in beira mozambique is approximately devastating with s window broken and large tree down this area took beating from,1
chimanimani the worst affected area in zimbabwe is desperate for humanitarian assistance the area is inaccessible bridge are collapsing amp air rescue by helicopter is being hampered by bad weather report say pple are confirmed dead amp dozen are missing,1
the government is moving fast to repair the road am bridge damaged by,1
bikita there are fatality from collapsed building of which are child boy and girl from ward and wa woman from ward in bikita district,2
the president of mozambique fear that more than people in his country may be dead several day after the southeastern african country wa hit by the powerful tropical,2
continuous bombing in palestine cyclone attack mozambique people killed in somalia people killed by gunman in mali the world is going through lot and the medium is not showing it keep them in your prayer please,2
the death toll from cyclone idai ha risen to and is expected to rise a receding floodwaters expose more body the disaster impacted million people across mozambique zimbabwe and malawi the warns of second wave of death from disease like cholera,2
flooding caused by continues to cause massive destruction in with heavy rain ongoing in manicaland amp masvingo province at least death have been reported people have been injured and over are missing gt gt,2
martas dream wa to become nurse but shes been her whole life after hit she ha nothing left her home ha been damaged her livestock died and her land is flooded destroying all her crop,1
the first death from cholera ha been confirmed in the cyclone hit port city of beira with case of the disease almost doubling in mozambique in the past hour health official say source bbc news,2
people confirmed dead and missing move the motion that the whole week be week of national mourning and the flag be at half mast,2
sydney journalist from and wa nabbed in chimanimani for getting aid meant for the,4
resilience shine through this is ana jo her school in sofola like hundred wa destroyed by ana salvaged school book from the wreckage so that her student can still use them when lesson restart,1
and flood death toll rise to,2
the death toll of cyclone idai is now at mtsrip,2
ester told u she had to keep moving a house she took shelter in kept collapsing fc,1
no money no grocery and of the city destroyed the devastation left by cyclone idai in mozambique show that climate change is thing of the present not the future,1
left trail of destruction in mozambique zimbabwe and malawi the death toll keep on increase by the day with still high risk on flood and mud slide community are left vulnerable and dev,2
road destroyed amp most place not accessible a zimbabwe feel the wrath of excyclone idai in manicaland,1
recommendation vii protect the right to education through rebuilding and repairing of damaged school and facility,1
more than were killed by in zimbabwe precious wa lucky to survive this is what she went through in her own word,2
i have just spoken to my sister in she say ha killed some swept house a well a destroying crop madhumbe magwere and banana her parting message wa we are not sure what will happen tonight if it continues we are gone,1
house washed away including police camp bridge and road,1
hundred dead countless missing body washed mile from their home by flood water two week after cyclone idai hit and body are being found in tree foot high dispatch from our forensic specialist in mozambique,2
considered one of the deadliest storm on record in the southern hemisphere ha left close to million people affected over killed thousand homeless amp left child separated from their family displaced and or orphaned,2
from disaster ray of good news beira mozambique wa destroyed by cyclone idai but the port infrastructure made it through because of good planning not one shipping container wa lost they were shifted from high stack to low pyramid and the giant crane were anchored,1
rt after killed more than people case of cholera are cropping up in it wake,2
ha done more damage than we expected sorry to the bereaved family,1
mozambique flooding death toll look set to rocket a only helicopter try to rescue thousand stranded via,2
rt death toll in mozambique cyclone flood could surpass via,2
disaster bring out satanist among u while others are going to chimanimani to assist u sponsored terrorist are using bottle of maheu manipulate victim amp spoon feed them anti government propaganda did gogo even know how she wa be abused online by pachedu2,4
breaking news confirmed dead from in zimbabwe the death toll from cyclone idai ha risen to the dead are mostly from the manicaland town of chimanimani and chipinge,2
the number of people dead is and we only update after body have found people are missing but could go up july moyo now on,2
also badly hit we are receiving info of severe damage in province loss of many life and destruction is the first on the ground to assist is already supporting the immediate response pic,2
ha affected more than million people in people have been displaced by the flood red cross team are working tirelessly,0
rt 4 ward biriviri and charles luanga sec sch people dead two school boy and one adult biriviri bridge overflow,2
disaster relief today handed over blanket and grocery to assist survivor of the cyclone idai disaster that ravaged the eastern part of zimbabwe and left dozen dead hundred missing and thousand homeless,2
the cyclone started in mozambique yet zimbabwe death toll ha surpassed that of mozambique this is very embarrassing amp sad,2
